🕘️更新时间,#genre#
2025-08-13 23:00:44,http://106.53.99.30/tv/jzb.php?id=cctv1

📺央视频道,#genre#
CCTV-1,http://106.53.99.30/tv/jzb.php?id=cctv1
CCTV-1,https://mursor.ottiptv.cc/migu/608807420.m3u8?migutoken=e283624689c9ba733880cba8eb5873971b818be00645e02eb5988bd172f22dd135aca7f40a032d4ccc88eac4b2b0186f0c31abcc9b0ed82f880956d30dc4894fbc4d271a49b6721fd2fdbcf6ae
CCTV-1,http://222.185.98.96:888/rtp/239.49.1.1:6000
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1,http://123.174.106.183:8888/rtp/239.1.1.7:8007
CCTV-1,http://125.42.151.151:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://123.52.14.64:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://115.48.161.129:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://125.42.151.219:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://222.185.98.96:888/rtp/239.49.0.1:8000
CCTV-1,http://183.131.246.250:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://101.66.195.105:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://106.53.99.30/tv/jzb.php?id=cctv2
CCTV-2,https://mursor.ottiptv.cc/migu/631780532.m3u8?migutoken=38cf38e04827c62c77c63bafdd6aae1c9ac02ac1b0374a7531d6bc4205a5f7250967881fde093346ba89e29c579805b649b652073aaabf2a7233586a530384fe92f5ccc3fbae027610b67d92b7
CCTV-2,http://222.185.98.96:888/rtp/239.49.0.2:8008
CCTV-2,http://221.193.168.209:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://125.42.151.151:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://125.42.151.219:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://115.48.161.129:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://60.29.124.66:6080/hls/13/index.m3u8
CCTV-2,http://123.52.14.64:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://222.185.98.96:888/rtp/239.49.1.2:6000
CCTV-2,http://221.193.168.243:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8
CCTV-3,http://106.53.99.30/tv/jzb.php?id=cctv3
CCTV-3,http://222.185.98.96:888/rtp/239.49.1.3:6000
CCTV-3,https://mursor.ottiptv.cc/migu/624878271.m3u8?migutoken=d49b8c115aed68c0a14bea5e7f5b29ea55ef42991bd601c9888e8a4b373c622e03e4b537b2e3c6ae1c9cfd77dd09e117402e00749f820b9f2873b6442271418ee7bcdd0d06d585c94abcf38e69
CCTV-3,http://125.42.151.151:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://222.185.98.96:888/rtp/239.49.0.3:9566
CCTV-3,http://221.193.168.209:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://221.193.168.16:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://115.48.161.129:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://58.17.48.228:808/hls/3/index.m3u8
CCTV-3,http://1b6467f415.iok.la:9931/tsfile/live/1022_1.m3u8
CCTV-3,http://125.42.151.219:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://221.193.168.243:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://123.52.14.64:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8
CCTV-3,http://36.105.100.208:35455/gaoma/cctv3.m3u8
CCTV-4,http://106.53.99.30/tv/jzb.php?id=cctv4
CCTV-4,https://mursor.ottiptv.cc/migu/631780421.m3u8?migutoken=39ed0fc6ab26ed31f9b10b6f85326e14a203fafd2b3f30c3705d57edb5b8e4f987d759a326a32eaec2adf7711f11b872e034b50b45cfa376392482c7a926dbff9d6067479068ebd77448855eec
CCTV-4,http://112.46.85.60:8009/hls/4/index.m3u8
CCTV-4,http://222.185.98.96:888/rtp/239.49.0.4:8024
CCTV-4,http://61.145.188.90:50005/rtp/239.77.1.163:5146
CCTV-4,http://125.42.151.151:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://58.19.43.46:9901/tsfile/live/1023_1.m3u8
CCTV-4,http://221.193.168.209:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV-4,http://221.193.168.16:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://171.14.89.243:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://115.48.161.129:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://123.52.14.64:9901/tsfile/live/0004_1.m3u8
CCTV-4,http://125.42.151.219:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://222.185.98.96:888/rtp/239.49.1.4:6000
CCTV-5,http://106.53.99.30/tv/jzb.php?id=cctv5
CCTV-5,http://125.42.151.151:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV-5,http://222.185.98.96:888/rtp/239.49.0.5:9570
CCTV-5,http://58.17.48.228:808/hls/5/index.m3u8
CCTV-5,https://mursor.ottiptv.cc/migu/641886683.m3u8?migutoken=2f751ae0123a4499a7c1e860b10cbab4c8e908d5081fe6a9120510503c739c8b429a9dafaf8fb864ea866b30d1e6d4c7b43651ce9d8696d9781470c93a9723b9428d1ecd2e2ee10666ec53f16e
CCTV-5,http://222.185.98.96:888/rtp/239.49.1.5:6000
CCTV-5,http://221.193.168.209:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://221.193.168.16:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://60.29.124.66:6080/hls/16/index.m3u8
CCTV-5,http://221.193.168.199:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://123.52.14.64:9901/tsfile/live/0005_1.m3u8
CCTV-5,http://221.193.168.243:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://101.66.195.147:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://101.66.195.105:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5+,http://106.53.99.30/tv/jzb.php?id=cctv5plus
CCTV-5+,https://mursor.ottiptv.cc/migu/641886773.m3u8?migutoken=cc77ee2c67abd091ba3b5de9feaaa164c748d94d2ca259d5916f9cd31d6e861ef56dcda3ad3dd1faead6681cff584baa6270e4251c4e0ba1a47225ee8950701b5b6796bc968778e2ab8645b2a9
CCTV-5+,http://123.52.14.64:9901/tsfile/live/0016_1.m3u8
CCTV-5+,http://125.125.234.156:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV-5+,http://123.130.84.106:8154/tsfile/live/0016_1.m3u8
CCTV-5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8
CCTV-5+,http://36.105.100.208:35455/gaoma/cctv5p.m3u8
CCTV-6,http://106.53.99.30/tv/jzb.php?id=cctv6
CCTV-6,http://125.42.151.151:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://58.17.48.228:808/hls/6/index.m3u8
CCTV-6,http://221.193.168.209:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,https://mursor.ottiptv.cc/migu/624878396.m3u8?migutoken=2977d5156fadcaf80a6b177b6350f0b192db2852d9cb43996786557259c6e09a34802f0aa7f6ca4089f14b047823024a3a29f0ead21be5fda4bff58adda053b98d2ac4ecb659078c74cb793870
CCTV-6,http://171.14.89.243:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://221.193.168.199:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://123.52.14.64:9901/tsfile/live/0006_1.m3u8
CCTV-6,http://222.185.98.96:888/rtp/239.49.1.6:6000
CCTV-6,http://125.42.151.219:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://60.29.124.66:6080/hls/17/index.m3u8
CCTV-6,http://222.185.98.96:888/rtp/239.49.0.6:9574
CCTV-6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8
CCTV-6,http://36.105.100.208:35455/gaoma/cctv6.m3u8
CCTV-7,http://106.53.99.30/tv/jzb.php?id=cctv7
CCTV-7,http://221.193.168.209:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://125.42.151.151:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://220.169.109.72:802/rtp/239.76.253.157:9000
CCTV-7,http://221.193.168.199:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://221.193.168.16:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://125.42.151.219:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://123.52.14.64:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://116.9.204.242:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://171.109.20.22:4566/rtp/239.81.0.116:4056
CCTV-7,http://221.224.197.251:9901/tsfile/live/0007_1.m3u8
CCTV-7,http://183.11.239.36:808/hls/25/index.m3u8
CCTV-7,http://220.169.100.41:10087/rtp/239.76.253.157:9000
CCTV-7,http://222.185.98.96:888/rtp/239.49.1.254:6000
CCTV-7,http://8.138.7.223/tv/cctv7.m3u8
CCTV-8,http://120.238.94.10:9901/tsfile/live/1026_1.m3u8
CCTV-8,http://106.53.99.30/tv/jzb.php?id=cctv8
CCTV-8,https://mursor.ottiptv.cc/migu/624878356.m3u8?migutoken=e4cd4391b63447e590dd77ccb0d18b8c038b7232d004749f65a9f211f2bb72dcfa1536eafbb53012f5bb152e3dc3a0c09b04e481e79bd0c13eb0641a793b2c1523dd320956312e39cd5a928699
CCTV-8,http://125.42.151.151:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://112.46.85.60:8009/hls/8/index.m3u8
CCTV-8,http://222.185.98.96:888/rtp/239.49.0.8:9578
CCTV-8,http://115.48.161.129:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://222.185.98.96:888/rtp/239.49.1.8:6000
CCTV-8,http://221.193.168.16:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://125.42.151.219:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://123.52.14.64:9901/tsfile/live/0008_1.m3u8
CCTV-8,http://221.193.168.243:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://58.57.40.22:9901/tsfile/live/1008_1.m3u8
CCTV-9,http://125.42.151.151:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://106.53.99.30/tv/jzb.php?id=cctv9
CCTV-9,https://mursor.ottiptv.cc/migu/673168140.m3u8?migutoken=8e3224102768ad2ebc5df30e62e567bf4cf0c8a0a2d2e8a6b15a51a2603021cdd292ab9369a0c978cd340b1c4b07ef68876ba4aedc260aba899648ce71c8bc84606e1e944b523068f04b2ca45a
CCTV-9,http://116.233.38.0:8888/rtp/239.45.3.4:5140
CCTV-9,http://58.19.43.46:9901/tsfile/live/1028_1.m3u8
CCTV-9,http://115.48.161.129:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://221.193.168.209:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://220.169.100.41:10087/rtp/239.76.253.159:9000
CCTV-9,http://125.43.244.1:9901/tsfile/live/0009_2.m3u8
CCTV-9,http://221.193.168.16:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://222.185.98.96:888/rtp/239.49.8.53:9814
CCTV-9,http://221.193.168.199:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://125.42.151.219:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://omnix.cn:4000/udp/225.1.8.9:8112
CCTV-9,http://123.52.14.64:9901/tsfile/live/0009_1.m3u8
CCTV-10,http://222.185.98.96:888/rtp/239.49.1.10:6000
CCTV-10,http://120.238.94.10:9901/tsfile/live/1028_1.m3u8
CCTV-10,http://123.174.106.183:8888/rtp/239.1.1.17:8017
CCTV-10,http://106.53.99.30/tv/jzb.php?id=cctv10
CCTV-10,http://125.42.151.151:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,https://mursor.ottiptv.cc/migu/624878405.m3u8?migutoken=fe4a53ec661cb0df3c75a4f15db365f5bbb566de16d0ab8c6ce3e41a26ad42676d274339bb5a392436d3f77f24f41eaa4d256e9b59efbf134b449214df233315f595fdfb43bec433a2df1a54b7
CCTV-10,http://221.193.168.209:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://58.19.43.46:9901/tsfile/live/1029_1.m3u8
CCTV-10,http://222.185.98.96:888/rtp/239.49.0.10:8072
CCTV-10,http://221.193.168.16:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://171.109.20.22:4566/rtp/239.81.0.118:4056
CCTV-10,http://221.193.168.199:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://123.52.14.64:9901/tsfile/live/0010_1.m3u8
